OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,ShipDate,DeliveryDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,OrderDate,Revenue,Revenue before Discount,Season,State
SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-06-14,2018-06-19,6,15,259,12,5,0.075,"1,001.18",1963.1,2018-05-31,9079.3375,9815.5,Summer,Arizona
SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-06-22,2018-02-07,14,20,196,27,3,0.075,"3,348.66",3939.6,2018-05-31,10932.39,11818.8,Summer,New Jersey
SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-06-21,2018-01-07,21,16,213,16,1,0.05,781.22,1775.5,2018-05-31,1686.725,1775.5,Summer,Minnesota
SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-02-06,2018-07-06,28,48,107,23,8,0.075,"1,464.69",2324.9,2018-05-31,17204.260000000002,18599.2,Summer,Hawaii
SO - 000105,Distributor,WARE-NMK1003,2018-10-04,2018-06-16,2018-06-26,22,49,111,26,8,0.1,"1,476.14",1822.4,2018-05-31,13121.28,14579.2,Summer,Virginia
SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-08-06,2018-06-13,12,21,285,1,5,0.05,446.56,1038.5,2018-05-31,4932.875,5192.5,Summer,New York
SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-08-06,2018-06-14,10,14,6,5,4,0.15,536.67,1192.6,2018-05-31,4054.8399999999997,4770.4,Summer,New Jersey
SO - 000108,In-Store,WARE-PUJ1005,2018-10-04,2018-06-26,2018-01-07,6,9,280,46,5,0.05,"1,525.19",1815.7,2018-05-31,8624.574999999999,9078.5,Summer,West Virginia
SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-16,2018-06-21,4,9,299,47,4,0.3,"2,211.20",3879.3,2018-01-06,10862.039999999999,15517.2,Spring,Alabama
SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-29,2018-01-07,10,33,261,13,8,0.05,"1,212.97",1956.4,2018-01-06,14868.64,15651.2,Spring,Alabama
